to_date,works
17/11/2018,1953
18/11/2018,504
19/11/2018,21996
20/11/2018,15151
21/11/2018,9500
22/11/2018,7586
23/11/2018,10207
24/11/2018,2103
25/11/2018,1041
26/11/2018,25270
27/11/2018,26382
28/11/2018,15677
29/11/2018,11007
30/11/2018,4495
01/12/2018,31866
02/12/2018,10255
03/12/2018,7783
04/12/2018,8666
05/12/2018,5817
06/12/2018,8649
07/12/2018,28532
08/12/2018,4177
09/12/2018,491
10/12/2018,67097
11/12/2018,18335
12/12/2018,15223
13/12/2018,13058
14/12/2018,19606
15/12/2018,12192
16/12/2018,512
17/12/2018,18231
18/12/2018,16272
19/12/2018,28191
20/12/2018,8807
21/12/2018,29704
22/12/2018,10340
23/12/2018,8937
24/12/2018,2140
25/12/2018,407
26/12/2018,93
27/12/2018,3097
28/12/2018,1333
29/12/2018,793
30/12/2018,669
31/12/2018,547
01/01/2019,1393
02/01/2019,2036
03/01/2019,4298
04/01/2019,6120
05/01/2019,1259
06/01/2019,253
07/01/2019,9363
08/01/2019,6248
09/01/2019,22726
10/01/2019,11104
11/01/2019,9916
12/01/2019,2757
13/01/2019,484
14/01/2019,1980
15/01/2019,7009
16/01/2019,7320
17/01/2019,4513
18/01/2019,12396
19/01/2019,1752
20/01/2019,616
21/01/2019,9419
22/01/2019,7865
23/01/2019,8879
24/01/2019,9486
25/01/2019,8312
26/01/2019,2390
27/01/2019,513
28/01/2019,53625
29/01/2019,10173
30/01/2019,6057
31/01/2019,25564
01/02/2019,30611
02/02/2019,149
03/02/2019,2310
04/02/2019,5742
05/02/2019,11470
06/02/2019,38311
07/02/2019,21656
08/02/2019,11397
09/02/2019,2400
10/02/2019,609
11/02/2019,12779
12/02/2019,17990
13/02/2019,22055
14/02/2019,8282
15/02/2019,13958
16/02/2019,1672
17/02/2019,999
18/02/2019,5444
19/02/2019,8483
20/02/2019,8217
21/02/2019,8649
22/02/2019,17449
23/02/2019,1951
24/02/2019,568
25/02/2019,22308
26/02/2019,8629
27/02/2019,14269
28/02/2019,4641
01/03/2019,28208
02/03/2019,2725
03/03/2019,555
04/03/2019,19263
05/03/2019,14457
06/03/2019,7245
07/03/2019,16306
08/03/2019,5478
09/03/2019,4133
10/03/2019,397
11/03/2019,7054
12/03/2019,13812
13/03/2019,10572
14/03/2019,10215
15/03/2019,8911
16/03/2019,3310
17/03/2019,557
18/03/2019,8553
19/03/2019,17606
20/03/2019,37646
21/03/2019,19202
22/03/2019,8717
23/03/2019,1349
24/03/2019,191
25/03/2019,20325
26/03/2019,91451
27/03/2019,95001
28/03/2019,5719
29/03/2019,15463
30/03/2019,7138
31/03/2019,3497
01/04/2019,19188
02/04/2019,6953
03/04/2019,12484
04/04/2019,16789
05/04/2019,22031
06/04/2019,13688
07/04/2019,11100
08/04/2019,23612
09/04/2019,20946
10/04/2019,11991
11/04/2019,71506
12/04/2019,27429
13/04/2019,4228
14/04/2019,238
15/04/2019,20468
16/04/2019,37992
17/04/2019,5860
18/04/2019,4312
19/04/2019,18047
20/04/2019,993
21/04/2019,274
22/04/2019,412
23/04/2019,12116
24/04/2019,8105
25/04/2019,29628
26/04/2019,10980
27/04/2019,1627
28/04/2019,472
29/04/2019,12701
30/04/2019,13733
01/05/2019,4864
02/05/2019,9325
03/05/2019,14835
04/05/2019,9884
05/05/2019,782
06/05/2019,6231
07/05/2019,10958
08/05/2019,3524
09/05/2019,23989
10/05/2019,16194
11/05/2019,1556
12/05/2019,566
13/05/2019,9210
14/05/2019,18436
15/05/2019,11940
16/05/2019,28817
17/05/2019,9863
18/05/2019,2116
19/05/2019,655
20/05/2019,6660
21/05/2019,10024
22/05/2019,8266
23/05/2019,19737
24/05/2019,8810
25/05/2019,2377
26/05/2019,3847
27/05/2019,14781
28/05/2019,6982
29/05/2019,5732
30/05/2019,5189
31/05/2019,7195
01/06/2019,8459
02/06/2019,274
03/06/2019,26036
04/06/2019,6979
05/06/2019,9468
06/06/2019,14812
07/06/2019,8965
08/06/2019,214
09/06/2019,1727
10/06/2019,11584
11/06/2019,25697
12/06/2019,16565
13/06/2019,38478
14/06/2019,6586
15/06/2019,1669
16/06/2019,493
17/06/2019,10487
18/06/2019,6048
19/06/2019,6230
20/06/2019,10145
21/06/2019,19007
22/06/2019,2092
23/06/2019,287
24/06/2019,15413
25/06/2019,5395
26/06/2019,10436
27/06/2019,9284
28/06/2019,28567
29/06/2019,1398
30/06/2019,262
